Case_Num	Prod_Period	Prod_Type	Shift	Line	Prop_Def	Strength	Rating	Line_Speed	Tank_Acid	Moisture	Temp	Storage_Pct	Anneal_Temp	Bake_1_Temp	Bake_2_Temp	Roll_Tension	Rewind_Speed	Coating_Speed
211	2	4	3	3	.033	394.87	3.82	455.1	3.52	49.3	74.54	85.2	199	136.8	201.4	2.3	125	101.23
212	2	4	2	3	.018	411.15	3.67	464.9	3.59	48.7	70.7	82.2	199	136.7	201.3	5	125	101.2
213	2	4	2	3	.019	362.28	3.37	437.9	3	45.7	72.11	93	228	136.6	201.4	25	125	101.2
214	2	4	1	3	.023	354.75	2.96	436.6	2.7	45.9	80.8	53	157	136.8	200.9	11.3	369	101.359988
215	2	4	1	3	.033	368.55	3.27	365.3	3.39	49.8	80.8	79.5	182	136.9	201.3	6.3	125	101.2
216	2	4	3	3	.017	199.3	1.53	246	2.65	37.3	53.93	88.7	226	136.5	201.4	25	125	101.269992
217	2	4	1	3	.023	397.38	3.22	424.3	3.59	48.4	60.6	76.7	176	136.9	201.3	7.2	100.7	101.2
218	2	4	1	3	.02	432.49	3.55	405.9	3.7	49.8	80.8	81.3	190	136.8	201.3	4.5	125	101.2
219	2	4	3	2	.035	455.04	3.74	445.2	3.69	49	78.37	73.2	183	136.7	201.2	9.5	125	101.249999
220	2	4	1	2	.038	345.96	2.58	372.7	3.56	47.7	78.58	72	190	136.6	201.1	9	125	101.299991
221	2	4	2	2	.022	353.49	3.14	386.2	3.27	47.7	80.8	73.2	178	136.8	201.2	7.2	201.3	101.23
222	2	4	1	3	.007	268.26	2.43	263.2	2.86	43.6	81	94	221	136.6	201.4	25	125	101.2
225	2	4	1	3	.029	445	3.69	428	3.52	45.4	72.11	80.7	180	136.9	201.3	6.3	125	101.2
226	2	4	1	3	.034	406.17	3.29	412	3.61	46.4	74.54	89	212	136.7	201.4	1.4	125	101.2
227	2	4	1	1	.03	254.45	2.1	339.5	3.24	38.3	47.67	78.7	173	136.9	201.3	7.2	125	101.2
230	2	4	2	3	.023	239.43	1.65	335.8	3.05	49	40.4	82.7	191	136.9	201.4	1.8	125	101.2
231	2	4	2	3	.031	432.49	3.68	448.9	3.61	30.5	47.06	89	208	136.8	201.4	25	125	101.2
232	2	4	2	3	.031	416.17	3.52	458.8	3.3	37.3	60.6	92	222	136.6	201.4	25	125	101.2
233	2	4	2	3	.023	463.83	3.96	469.8	3.9	47.2	65.65	91.2	227	136.5	201.4	1.8	125	101.2
234	2	4	1	1	.036	442.49	3.56	435.4	3.18	45.9	66.66	88.2	204	136.8	201.4	25	125	101.2
235	2	4	1	1	.034	450.02	3.71	480.9	3.3	49.4	75.14	91	224	136.6	201.4	25	125	101.2
236	2	4	1	3	.032	466.34	3.81	464.9	3.72	48.8	78.37	89.7	217	136.7	201.4	25	125	101.2
237	2	4	1	3	.03	435	3.6	377.6	3.77	46.8	69.08	84	176	137.1	201.4	25	125	101.2
238	2	4	1	3	.033	475.09	3.94	484.6	3.91	49.3	77.77	84.7	189	136.9	201.4	25	125	101.2
239	2	5	1	3	.032	448.77	3.72	444	3.69	49.8	80.8	90.2	216	136.7	201.4	25	125	101.2
240	2	5	3	1	.02	470.1	3.85	430.5	3.89	46.3	60.6	86.5	189	136.9	201.4	25	125	101.2
241	2	5	2	3	.037	393.62	3.14	386.2	3.71	45.9	74.13	93.2	229	136.5	201.4	25	125	101.2
242	2	5	2	1	.009	446.26	3.56	276.8	3.56	49.8	80.8	100	250	136.3	201.5	25	125	101.2
243	2	5	2	1	.005	401.15	3.2	399.8	3	41.4	60.6	100	250	136.3	201.5	25	125	101.2
244	2	5	2	2	.016	426.21	3.53	467.4	3.88	49.8	80.8	95.5	238	136.5	201.5	25	125	101.2
245	2	5	2	2	.018	446.26	3.61	478.5	3.63	47.3	74.94	93.8	229	136.5	201.4	25	125	101.2
246	2	5	2	3	.027	477.6	3.81	458.8	3.85	48.8	80.8	93.2	228	136.6	201.4	25	125	101.2
247	2	5	1	3	.023	468.85	3.87	471.1	3.83	48.7	72.72	91.7	225	136.6	201.5	25	125	101.2
248	2	5	1	1	.029	302.11	2.41	382.5	3.23	47.3	73.12	89.2	203	136.8	201.4	25	125	101.2
249	2	5	2	1	.009	83.99	.56	140.2	2.44	3.1	77	95.5	233	136.5	201.4	25	125	101.2
250	2	5	2	1	.009	446.26	3.67	464.9	3.56	49.8	80.8	92.7	230	136.5	201.4	25	125	101.2
251	2	5	2	1	.006	438.76	3.33	442.8	4	49.8	80.8	90.5	233	136.3	201.3	7.7	125	101.2
252	2	5	2	3	.012	491.4	3.92	480.9	3.83	49.8	80.8	100	250	136.3	201.5	25	125	101.2
253	2	5	2	1	.016	423.7	3.5	468.6	3.57	48.7	60.6	97.7	250	136.3	201.5	25	125	101.2
255	2	5	2	1	.012	428.72	3.75	469.8	3.4	49.8	80.8	99.5	250	136.3	201.5	25	125	101.2
256	2	5	2	3	.022	302.11	2.32	439.1	3.3	37.3	67.26	91	231	136.5	201.4	25	125	101.2
259	2	5	2	2	.019	250.72	2.06	355.5	3.26	34	50.5	95.5	243	136.4	201.4	25	125	101.2
261	2	5	2	2	.033	334.7	3.12	398.5	3.34	49	74.13	77.2	190	136.8	201.3	5.9	134.2	101.2
262	2	5	2	3	.028	330.94	3	405.9	3.5	47.2	72.11	69.5	184	136.7	201.1	8.1	234.8	101.269992
263	2	5	1	3	.028	362.28	3.36	439.1	3.46	46.2	60.6	79	202	136.6	201.3	5	67.1	101.24
